,Rank,App
0,1.,WhatsApp Messenger
1,2.,Facebook
2,3.,Instagram
3,4.,Messenger – Text and Video Chat for Free
4,5.,YouTube
5,6.,Clash of Clans
6,7.,"Clean Master - Antivirus, Applock & Cleaner"
7,8.,Garena Free Fire: Spooky Night
8,9.,Subway Surfers
9,10.,Clash Royale
10,11.,Candy Crush Saga
11,12.,Google Play services
12,13.,"Security Master - Antivirus, VPN, AppLock, Booster"
13,14.,PUBG MOBILE
14,15.,Google Photos
15,16.,Snapchat
16,17.,"UC Browser- Free & Fast Video Downloader, News App"
17,18.,Google Chrome: Fast & Secure
18,19.,8 Ball Pool
19,20.,"360 Security -  Antivirus, Booster, Phone Cleaner"
20,1.,WhatsApp Messenger
21,2.,Facebook
22,3.,Instagram
23,4.,Messenger – Text and Video Chat for Free
24,5.,YouTube
25,6.,Clash of Clans
26,7.,"Clean Master - Antivirus, Applock & Cleaner"
27,8.,Garena Free Fire: Spooky Night
28,9.,Subway Surfers
29,10.,Clash Royale
30,11.,Candy Crush Saga
31,12.,Google Play services
32,13.,"Security Master - Antivirus, VPN, AppLock, Booster"
33,14.,PUBG MOBILE
34,15.,Google Photos
35,16.,Snapchat
36,17.,"UC Browser- Free & Fast Video Downloader, News App"
37,18.,Google Chrome: Fast & Secure
38,19.,8 Ball Pool
39,20.,"360 Security -  Antivirus, Booster, Phone Cleaner"
40,1.,WhatsApp Messenger
41,2.,Facebook
42,3.,Instagram
43,4.,Messenger – Text and Video Chat for Free
44,5.,YouTube
45,6.,Clash of Clans
46,7.,"Clean Master - Antivirus, Applock & Cleaner"
47,8.,Garena Free Fire: Spooky Night
48,9.,Subway Surfers
49,10.,Clash Royale
50,11.,Candy Crush Saga
51,12.,Google Play services
52,13.,"Security Master - Antivirus, VPN, AppLock, Booster"
53,14.,PUBG MOBILE
54,15.,Google Photos
55,16.,Snapchat
56,17.,"UC Browser- Free & Fast Video Downloader, News App"
57,18.,Google Chrome: Fast & Secure
58,19.,8 Ball Pool
59,20.,"360 Security -  Antivirus, Booster, Phone Cleaner"
60,1.,WhatsApp Messenger
61,2.,Facebook
62,3.,Instagram
63,4.,Messenger – Text and Video Chat for Free
64,5.,YouTube
65,6.,Clash of Clans
66,7.,"Clean Master - Antivirus, Applock & Cleaner"
67,8.,Garena Free Fire: Spooky Night
68,9.,Subway Surfers
69,10.,Clash Royale
70,11.,Candy Crush Saga
71,12.,Google Play services
72,13.,"Security Master - Antivirus, VPN, AppLock, Booster"
73,14.,PUBG MOBILE
74,15.,Google Photos
75,16.,Snapchat
76,17.,"UC Browser- Free & Fast Video Downloader, News App"
77,18.,Google Chrome: Fast & Secure
78,19.,8 Ball Pool
